[2019/06/07 20:59:35][CONFIG][initLogger]  [32mLogging initialized.[0m
[2019/06/07 21:00:02][INFO][report]  TRANSACTIONID: a96f91949dd6e48cc60411e3b2842c99826196bfbac23d61b1ec7a4000c433e26745c85a190b0159746a188deb44bbd21bb374df135093078855af798fedfd0a
[2019/06/07 21:00:02][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'a96f91949dd6e48cc60411e3b2842c99826196bfbac23d61b1ec7a4000c433e26745c85a190b0159746a188deb44bbd21bb374df135093078855af798fedfd0a';
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Received request to insert a item into a cart.
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:02][INFO][insertToCartRequest]  SessionID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:02][INFO][insertToCartRequest]  TransactionID: 5e5b558307f1446314fa9278c0054bc61b020de0627f1d9d9e7f8456c78c0daf531ae033ced2f2c2cb57d335cac2083f319fc4e2c2d45f5dbb63fda41cf3d223
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Verifying session with IDM...
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Building client...
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Building URI...
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Setting path to endpoint...
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Building WebTarget...
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Starting invocation builder...
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Setting payload of the request
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9"}
[2019/06/07 21:00:02][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:02][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:02][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:02][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Sending request...
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Sent!
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Reading response into model...
[2019/06/07 21:00:02][INFO][insertToCartRequest]  Successfully read into model!
[2019/06/07 21:00:02][INFO][insertToCartRequest]  The result code is: 130
[2019/06/07 21:00:02][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:02][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:02][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:02][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:02][INFO][process]  Building client...
[2019/06/07 21:00:02][INFO][process]  Building WebTarget...
[2019/06/07 21:00:02][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:02][INFO][process]  Setting payload of the request
[2019/06/07 21:00:02][INFO][process]  Sending request...
[2019/06/07 21:00:02][INFO][process]  This is a POST request
[2019/06/07 21:00:03][INFO][process]  Sent!
[2019/06/07 21:00:03][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:03][INFO][report]  SESSIONID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:03][INFO][report]  TRANSACTIONID: 5e5b558307f1446314fa9278c0054bc61b020de0627f1d9d9e7f8456c78c0daf531ae033ced2f2c2cb57d335cac2083f319fc4e2c2d45f5dbb63fda41cf3d223
[2019/06/07 21:00:03][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '5e5b558307f1446314fa9278c0054bc61b020de0627f1d9d9e7f8456c78c0daf531ae033ced2f2c2cb57d335cac2083f319fc4e2c2d45f5dbb63fda41cf3d223';
[2019/06/07 21:00:03][INFO][updateCartRequest]  Received request to update a cart.
[2019/06/07 21:00:03][INFO][updateCartRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:03][INFO][updateCartRequest]  SessionID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:03][INFO][updateCartRequest]  TransactionID: 2f20bf840ca0993d6466cdc0cf8ec04b573a7089eab44dd95aad7d3d297f349bd5de15cd5367bee9b2601aa79f7c1c6afbec7ab607625451858a12ce7f97277a
[2019/06/07 21:00:03][INFO][updateCartRequest]  Verifying session with IDM...
[2019/06/07 21:00:03][INFO][updateCartRequest]  Building client...
[2019/06/07 21:00:03][INFO][updateCartRequest]  Building URI...
[2019/06/07 21:00:03][INFO][updateCartRequest]  Setting path to endpoint...
[2019/06/07 21:00:03][INFO][updateCartRequest]  Building WebTarget...
[2019/06/07 21:00:03][INFO][updateCartRequest]  Starting invocation builder...
[2019/06/07 21:00:03][INFO][updateCartRequest]  Setting payload of the request
[2019/06/07 21:00:03][INFO][updateCartRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9"}
[2019/06/07 21:00:03][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:03][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:03][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:03][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:03][INFO][updateCartRequest]  Sending request...
[2019/06/07 21:00:03][INFO][updateCartRequest]  Sent!
[2019/06/07 21:00:03][INFO][updateCartRequest]  Reading response into model...
[2019/06/07 21:00:03][INFO][updateCartRequest]  Successfully read into model!
[2019/06/07 21:00:03][INFO][updateCartRequest]  The result code is: 130
[2019/06/07 21:00:03][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:03][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:03][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:03][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:03][INFO][process]  Building client...
[2019/06/07 21:00:03][INFO][process]  Building WebTarget...
[2019/06/07 21:00:03][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:03][INFO][process]  Setting payload of the request
[2019/06/07 21:00:03][INFO][process]  Sending request...
[2019/06/07 21:00:03][INFO][process]  This is a POST request
[2019/06/07 21:00:04][INFO][process]  Sent!
[2019/06/07 21:00:04][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:04][INFO][report]  SESSIONID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:04][INFO][report]  TRANSACTIONID: 2f20bf840ca0993d6466cdc0cf8ec04b573a7089eab44dd95aad7d3d297f349bd5de15cd5367bee9b2601aa79f7c1c6afbec7ab607625451858a12ce7f97277a
[2019/06/07 21:00:04][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '2f20bf840ca0993d6466cdc0cf8ec04b573a7089eab44dd95aad7d3d297f349bd5de15cd5367bee9b2601aa79f7c1c6afbec7ab607625451858a12ce7f97277a';
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Received request to retrieve a cart.
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  SessionID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  TransactionID: de300f2ca7bca68da58960de8909cc0985676f10214d29a85a37caafb9324f457458c7dfba1fe3b813daa7854a7b53eb575ed7b946625bc4f0c74c9e05c2f819
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Verifying session with IDM...
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Building client...
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Building URI...
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Setting path to endpoint...
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Building WebTarget...
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Starting invocation builder...
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Setting payload of the request
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9"}
[2019/06/07 21:00:15][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:15][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:15][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:15][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:15][INFO][retrieveCartRequest]  Sending request...
[2019/06/07 21:00:16][INFO][retrieveCartRequest]  Sent!
[2019/06/07 21:00:16][INFO][retrieveCartRequest]  Reading response into model...
[2019/06/07 21:00:16][INFO][retrieveCartRequest]  Successfully read into model!
[2019/06/07 21:00:16][INFO][retrieveCartRequest]  The result code is: 130
[2019/06/07 21:00:16][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:16][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:16][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:16][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:16][INFO][process]  Building client...
[2019/06/07 21:00:16][INFO][process]  Building WebTarget...
[2019/06/07 21:00:16][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:16][INFO][process]  Setting payload of the request
[2019/06/07 21:00:16][INFO][process]  Sending request...
[2019/06/07 21:00:16][INFO][process]  This is a POST request
[2019/06/07 21:00:16][INFO][loginUserRequest]  Received request to login a user.
[2019/06/07 21:00:16][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:16][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:16][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:16][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:16][INFO][process]  Building client...
[2019/06/07 21:00:16][INFO][process]  Building WebTarget...
[2019/06/07 21:00:16][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:16][INFO][process]  Setting payload of the request
[2019/06/07 21:00:16][INFO][process]  Sending request...
[2019/06/07 21:00:16][INFO][process]  This is a POST request
[2019/06/07 21:00:16][INFO][process]  Sent!
[2019/06/07 21:00:16][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:16][INFO][report]  SESSIONID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:16][INFO][report]  TRANSACTIONID: f78654213f67412a89e38b5411ba4bc84fc40724d17b6ab04a8f4b03e095066a91afd56454927ce2f84f3776907ee8f6b5a02ed7ef1bf633abe7ac8f8e3bc213
[2019/06/07 21:00:16][INFO][process]  Sent!
[2019/06/07 21:00:16][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'f78654213f67412a89e38b5411ba4bc84fc40724d17b6ab04a8f4b03e095066a91afd56454927ce2f84f3776907ee8f6b5a02ed7ef1bf633abe7ac8f8e3bc213';
[2019/06/07 21:00:16][WARNING][report]  SELECT Query in Report issue.
[2019/06/07 21:00:17][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:17][INFO][report]  SESSIONID: 47cd3b3dc2986649389f28e83f28874b5f3584218cc32c93812c57b8c152ff08fc220af14c8d70b5ea15f351aa8f8aaf97701b9b18446b0997d247108a69ecc9
[2019/06/07 21:00:17][INFO][report]  TRANSACTIONID: f78654213f67412a89e38b5411ba4bc84fc40724d17b6ab04a8f4b03e095066a91afd56454927ce2f84f3776907ee8f6b5a02ed7ef1bf633abe7ac8f8e3bc213
[2019/06/07 21:00:17][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'f78654213f67412a89e38b5411ba4bc84fc40724d17b6ab04a8f4b03e095066a91afd56454927ce2f84f3776907ee8f6b5a02ed7ef1bf633abe7ac8f8e3bc213';
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Received request to insert a item into a cart.
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:17][INFO][insertToCartRequest]  SessionID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:17][INFO][insertToCartRequest]  TransactionID: 1e1cc353dea62ea2bd9b2141f99fc067d18c6ff447284beb395e53117216330b219f35d6d103583febcea2f084751345c18651d54fb7b0c8991206a8762381bb
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Verifying session with IDM...
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Building client...
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Building URI...
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Setting path to endpoint...
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Building WebTarget...
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Starting invocation builder...
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Setting payload of the request
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18"}
[2019/06/07 21:00:17][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:17][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:17][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:17][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Sending request...
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Sent!
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Reading response into model...
[2019/06/07 21:00:17][INFO][insertToCartRequest]  Successfully read into model!
[2019/06/07 21:00:17][INFO][insertToCartRequest]  The result code is: 130
[2019/06/07 21:00:17][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:17][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:17][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:17][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:17][INFO][process]  Building client...
[2019/06/07 21:00:17][INFO][process]  Building WebTarget...
[2019/06/07 21:00:17][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:17][INFO][process]  Setting payload of the request
[2019/06/07 21:00:17][INFO][process]  Sending request...
[2019/06/07 21:00:17][INFO][process]  This is a POST request
[2019/06/07 21:00:17][INFO][process]  Sent!
[2019/06/07 21:00:18][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:18][INFO][report]  SESSIONID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:18][INFO][report]  TRANSACTIONID: 1e1cc353dea62ea2bd9b2141f99fc067d18c6ff447284beb395e53117216330b219f35d6d103583febcea2f084751345c18651d54fb7b0c8991206a8762381bb
[2019/06/07 21:00:18][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '1e1cc353dea62ea2bd9b2141f99fc067d18c6ff447284beb395e53117216330b219f35d6d103583febcea2f084751345c18651d54fb7b0c8991206a8762381bb';
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Received request to retrieve a cart.
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  SessionID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  TransactionID: 51293f1d324014fa61ab5109b44df687ac624ce568d631772b38deebc385d2fb775b4d5f90f1e9775f0b58a6b6c0ded980421fe61c55c3ff2a25aeccd999d18c
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Verifying session with IDM...
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Building client...
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Building URI...
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Setting path to endpoint...
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Building WebTarget...
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Starting invocation builder...
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Setting payload of the request
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18"}
[2019/06/07 21:00:18][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:18][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:18][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:18][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Sending request...
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Sent!
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Reading response into model...
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  Successfully read into model!
[2019/06/07 21:00:18][INFO][retrieveCartRequest]  The result code is: 130
[2019/06/07 21:00:18][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:18][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:18][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:18][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:18][INFO][process]  Building client...
[2019/06/07 21:00:18][INFO][process]  Building WebTarget...
[2019/06/07 21:00:18][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:18][INFO][process]  Setting payload of the request
[2019/06/07 21:00:18][INFO][process]  Sending request...
[2019/06/07 21:00:18][INFO][process]  This is a POST request
[2019/06/07 21:00:18][INFO][process]  Sent!
[2019/06/07 21:00:19][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:19][INFO][report]  SESSIONID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:19][INFO][report]  TRANSACTIONID: 51293f1d324014fa61ab5109b44df687ac624ce568d631772b38deebc385d2fb775b4d5f90f1e9775f0b58a6b6c0ded980421fe61c55c3ff2a25aeccd999d18c
[2019/06/07 21:00:19][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = '51293f1d324014fa61ab5109b44df687ac624ce568d631772b38deebc385d2fb775b4d5f90f1e9775f0b58a6b6c0ded980421fe61c55c3ff2a25aeccd999d18c';
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Received request to place an Order.
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:19][INFO][placeOrderRequest]  SessionID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:19][INFO][placeOrderRequest]  TransactionID: d2aeff87808cd55176870668e798f12466212b073f97d639d950a329f174562942d09f39f129efe0523ffd037979cc4fb942c39a2a8dd1fde234bcc66792fa93
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Verifying session with IDM...
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Building client...
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Building URI...
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Setting path to endpoint...
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Building WebTarget...
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Starting invocation builder...
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Setting payload of the request
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Check which values are null: {"email":"LIWy4P4Eph@MXDzf.com","sessionID":"36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18"}
[2019/06/07 21:00:19][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:19][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:19][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:19][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Sending request...
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Sent!
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Reading response into model...
[2019/06/07 21:00:19][INFO][placeOrderRequest]  Successfully read into model!
[2019/06/07 21:00:19][INFO][placeOrderRequest]  The result code is: 130
[2019/06/07 21:00:19][INFO][verifyModel]  Verifying model format...
[2019/06/07 21:00:19][INFO][verifyModel]  Attempting to deserialize JSON to POJO
[2019/06/07 21:00:19][INFO][verifyModel]  Successfully deserialized JSON to POJO.
[2019/06/07 21:00:19][INFO][verifyModel]  Model has been validated.
[2019/06/07 21:00:19][INFO][process]  Building client...
[2019/06/07 21:00:19][INFO][process]  Building WebTarget...
[2019/06/07 21:00:19][INFO][process]  Starting invocation builder...
[2019/06/07 21:00:19][INFO][process]  Setting payload of the request
[2019/06/07 21:00:19][INFO][process]  Sending request...
[2019/06/07 21:00:19][INFO][process]  This is a POST request
[2019/06/07 21:00:20][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:20][INFO][report]  SESSIONID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:20][INFO][report]  TRANSACTIONID: d2aeff87808cd55176870668e798f12466212b073f97d639d950a329f174562942d09f39f129efe0523ffd037979cc4fb942c39a2a8dd1fde234bcc66792fa93
[2019/06/07 21:00:20][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'd2aeff87808cd55176870668e798f12466212b073f97d639d950a329f174562942d09f39f129efe0523ffd037979cc4fb942c39a2a8dd1fde234bcc66792fa93';
[2019/06/07 21:00:20][WARNING][report]  SELECT Query in Report issue.
[2019/06/07 21:00:20][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:20][INFO][report]  SESSIONID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:20][INFO][report]  TRANSACTIONID: d2aeff87808cd55176870668e798f12466212b073f97d639d950a329f174562942d09f39f129efe0523ffd037979cc4fb942c39a2a8dd1fde234bcc66792fa93
[2019/06/07 21:00:20][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'd2aeff87808cd55176870668e798f12466212b073f97d639d950a329f174562942d09f39f129efe0523ffd037979cc4fb942c39a2a8dd1fde234bcc66792fa93';
[2019/06/07 21:00:20][WARNING][report]  SELECT Query in Report issue.
[2019/06/07 21:00:21][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:21][INFO][report]  SESSIONID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:21][INFO][report]  TRANSACTIONID: d2aeff87808cd55176870668e798f12466212b073f97d639d950a329f174562942d09f39f129efe0523ffd037979cc4fb942c39a2a8dd1fde234bcc66792fa93
[2019/06/07 21:00:21][INFO][process]  Sent!
[2019/06/07 21:00:21][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'd2aeff87808cd55176870668e798f12466212b073f97d639d950a329f174562942d09f39f129efe0523ffd037979cc4fb942c39a2a8dd1fde234bcc66792fa93';
[2019/06/07 21:00:21][WARNING][report]  SELECT Query in Report issue.
[2019/06/07 21:00:22][INFO][report]  EMAIL: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:22][INFO][report]  SESSIONID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
[2019/06/07 21:00:22][INFO][report]  TRANSACTIONID: d2aeff87808cd55176870668e798f12466212b073f97d639d950a329f174562942d09f39f129efe0523ffd037979cc4fb942c39a2a8dd1fde234bcc66792fa93
[2019/06/07 21:00:22][INFO][report]  Trying query: com.mysql.cj.jdbc.ClientPreparedStatement: SELECT response, httpstatus FROM responses WHERE transactionId = 'd2aeff87808cd55176870668e798f12466212b073f97d639d950a329f174562942d09f39f129efe0523ffd037979cc4fb942c39a2a8dd1fde234bcc66792fa93';
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Received request to retrieve a cart.
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  Email: LIWy4P4Eph@MXDzf.com
[2019/06/07 21:00:22][INFO][retrieveCartRequest]  SessionID: 36dd80ac11463b4673f055dd2bcc1a299fb703cd22f6128dd9169f5252f4d7b230b4e921ebfd143121c7d1df6f3a14ea8f40178d5fd7e00f2ce38b670792dd18
